Data,QI,Frequency,ID
441601eeac3c0d0e3000e20051397201021218904d7d,ee,ac3c0d,e20051397201021218904d7d
4416017d543a0d0e3000e20051397201021218904d7d,7d,543a0d,e20051397201021218904d7d
4416018ca4350d0e3000e20051397201021218904d7d,8c,a4350d,e20051397201021218904d7d
44160178fc370d0e3000e20051397201021218904d7d,78,fc370d,e20051397201021218904d7d
441601aaac3c0d0e3000e20051397201021218904d7d,aa,ac3c0d,e20051397201021218904d7d
44160189543a0d0e3000e20051397201021218904d7d,89,543a0d,e20051397201021218904d7d
4416013aa4350d0e3000e20051397201021218904d7d,3a,a4350d,e20051397201021218904d7d
44160179fc370d0e3000e20051397201021218904d7d,79,fc370d,e20051397201021218904d7d
44160194ac3c0d0e3000e20051397201021218904d7d,94,ac3c0d,e20051397201021218904d7d
44160176543a0d0e3000e20051397201021218904d7d,76,543a0d,e20051397201021218904d7d
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
4405000000,,,
